Label,TagSet,AssetType,Asset,AssetParent,isFedBy,City,Building,Wing,Floor,Room,Zone,AssetType2,Asset2
B6T_1F_SRVC_F17F24F25,Power_Meter,Power,B6T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-F17F24F25
B7R_1F_LGHT_MIDAISLE_Z7,Power_Meter,Power,B7R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MiddleAisle,,Lighting_System,42-1F-L-MIDAISLE_Z7
B7R_1F_SRVC_QR029_030,Power_Meter,Power,B7R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,QR029,,Plug_Load,42-1F-GS-QR029_030
B7S_1F_LGHT_D1D2D7TOD10D15TOD18,Power_Meter,Power,B7S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,,,Lighting_System,42-1F-L-D1D2D7TOD10D15TOD18
B7S_1F_SRVC_QR031_032,Power_Meter,Power,B7S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,QR031,,Plug_Load,42-1F-GS-QR031_032
B7T_1F_LGHT_D23TOD26_QR31_32,Power_Meter,Power,B7T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,QR31,,Lighting_System,42-1F-L-D23TOD26_QR31_32
B7T_1F_SRVC_QR035_036,Power_Meter,Power,B7T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,QR035,,Plug_Load,42-1F-GS-QR035_036
B8R_1F_LGHT_BACKAISLE_Z7,Power_Meter,Power,B8R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,BackAisle,,Lighting_System,42-1F-L-BACKAISLE_Z7
B8R_1F_SRVC_QR037_038,Power_Meter,Power,B8R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,QR037,,Plug_Load,42-1F-GS-QR037_038
B8S_1F_LGHT_MIDAISLE_Z7,Power_Meter,Power,B8S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MiddleAisle,,Lighting_System,42-1F-L-MIDAISLE_Z7
B8S_1F_SRVC_OPEN PLAN 42-1-19,Power_Meter,Power,B8S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,OpenPlan42-1-19,,Plug_Load,42-1F-GS-OPEN PLAN 42-1-19
B8T_1F_LGHT_MR_3F022,Power_Meter,Power,B8T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Lighting_System,42-1F-L-MR_3F022
